year,state,special,cook_rating,winner_name,winner_party,winner_pct
1990,MI,False,NA,Carl Levin,Democrat,57.5
1990,MN,False,NA,Paul David Wellstone,Democrat,50.4
1990,MS,False,NA,Thad Cochran,Republican,100.0
1990,MT,False,NA,Max Baucus,Democrat,68.1
1990,NE,False,NA,J. James Exon,Democrat,58.9
1990,NH,False,NA,Robert C. Smith,Republican,65.1
1990,NJ,False,NA,Bill Bradley,Democrat,50.4
1990,NM,False,NA,Pete V. Domenici,Republican,72.9
1990,NC,False,NA,Jesse Helms,Republican,52.5
1990,OK,False,NA,David L. Boren,Democrat,83.2
1990,OR,False,NA,Mark O. Hatfield,Republican,53.7
1990,RI,False,NA,Claiborne Pell,Democrat,61.8
1990,SC,False,NA,Strom Thurmond,Republican,64.2
1990,SD,False,NA,Larry Pressler,Republican,52.4
1990,TN,False,NA,Albert Gore Jr.,Democrat,67.7
1990,TX,False,NA,Phil Gramm,Republican,60.2
1990,VA,False,NA,John Warner,Republican,80.9
1990,WV,False,NA,John D. Rockefeller IV,Democrat,68.3
1990,WY,False,NA,Alan K. Simpson,Republican,63.9
1992,AL,False,NA,Richard C. Shelby,Democrat,64.8
1992,AK,False,NA,Frank H. Murkowski,Republican,53.0
1992,AZ,False,NA,John McCain,Republican,55.8
1992,AR,False,NA,Dale Bumpers,Democrat,60.2
1992,CA,False,NA,Barbara Boxer,Democrat,47.9
1992,CA,True,NA,Dianne Feinstein,Democrat,54.3
1992,CO,False,NA,Ben Nighthorse Campbell,Democrat,51.8
1992,CT,False,NA,Christopher J. Dodd,Democrat,38.5
1992,FL,False,NA,Bob Graham,Democrat,65.4
1992,GA,False,NA,Paul Coverdell,Republican,50.6
1992,HI,False,NA,Daniel K. Inouye,Democrat,57.3
1992,ID,False,NA,Dirk Kempthorne,Republican,56.5
1992,IL,False,NA,Carol Moseley-Braun,Democrat,53.3
1992,IN,False,NA,Dan Coats,Republican,57.3
1992,IA,False,NA,Chuck Grassley,Republican,69.6
1992,KS,False,NA,Bob Dole,Republican,62.7
1992,KY,False,NA,Wendell H. Ford,Democrat,62.9
1992,LA,False,NA,John B. Breaux,Democrat,100.0
1992,MD,False,NA,Barbara A. Mikulski,Democrat,71.0
1992,MO,False,NA,Christopher S. Bond,Republican,51.9
1992,NV,False,NA,Harry Reid,Democrat,51.0
1992,NH,False,NA,Judd Gregg,Republican,48.2
1992,NY,False,NA,Robert Abrams,Democrat,41.6
1992,NC,False,NA,Lauch Faircloth,Republican,50.3
1992,ND,False,NA,Byron L. Dorgan,Democrat,59.0
1992,ND,True,NA,Kent Conrad,Democrat,63.2
1992,OH,False,NA,John Glenn,Democrat,51.0
1992,OK,False,NA,Don Nickles,Republican,58.5
1992,OR,False,NA,Bob Packwood,Republican,52.1
1992,PA,False,NA,Arlen Specter,Republican,49.1
1992,SC,False,NA,Ernest F. Hollings,Democrat,50.1
1992,SD,False,NA,Thomas A. Daschle,Democrat,64.9
1992,UT,False,NA,Robert F. Bennett,Republican,55.4
1992,VT,False,NA,Patrick J. Leahy,Democrat,54.2
1992,WA,False,NA,Patty Murray,Democrat,54.0
1992,WI,False,NA,Russell D. Feingold,Democrat,52.6
1994,AZ,False,NA,Jon Kyl,Republican,53.7
1994,CA,False,NA,Dianne Feinstein,Democrat,46.7
1994,CT,False,NA,Joseph I. Lieberman,Democrat,41.1
1994,DE,False,NA,William V. Roth Jr.,Republican,55.8
1994,FL,False,NA,Connie Mack,Republican,70.5
1994,HI,False,NA,Daniel K. Akaka,Democrat,71.8
1994,IN,False,NA,Richard G. Lugar,Republican,67.4
1994,ME,False,NA,Olympia J. Snowe,Republican,60.2
1994,MD,False,NA,Paul S. Sarbanes,Democrat,59.1
1994,MA,False,NA,Edward M. Kennedy,Democrat,58.1
1994,MI,False,NA,Spencer Abraham,Republican,51.9
1994,MN,False,NA,Rod Grams,Republican,49.1
1994,MS,False,NA,Trent Lott,Republican,68.8
1994,MO,False,NA,John Ashcroft,Republican,59.7
1994,MT,False,NA,Conrad R. Burns,Republican,62.4
1994,NE,False,NA,J. Robert Kerrey,Democrat,54.8
1994,NV,False,NA,Richard H. Bryan,Democrat,50.9
1994,NJ,False,NA,Frank R. Lautenberg,Democrat,50.3
1994,NM,False,NA,Jeff Bingaman,Democrat,54.0
1994,NY,False,NA,Daniel Patrick Moynihan,Democrat,47.5
1994,ND,False,NA,Kent Conrad,Democrat,58.0
1994,OH,False,NA,Mike DeWine,Republican,53.4
1994,OK,True,NA,James M. Inhofe,Republican,55.2
1994,PA,False,NA,Rick Santorum,Republican,49.4
1994,RI,False,NA,John H. Chafee,Republican,64.5
1994,TN,False,NA,Bill Frist,Republican,56.4
1994,TN,True,NA,Fred Thompson,Republican,60.4
1994,TX,False,NA,Kay Bailey Hutchison,Republican,60.8
1994,UT,False,NA,Orrin G. Hatch,Republican,68.8
1994,VT,False,NA,James M. Jeffords,Republican,50.3
1994,VA,False,NA,Charles S. Robb,Democrat,45.6
1994,WA,False,NA,Slade Gorton,Republican,55.7
1994,WV,False,NA,Robert C. Byrd,Democrat,69.0
1994,WI,False,NA,Herb Kohl,Democrat,58.3
1994,WY,False,NA,Craig Thomas,Republican,58.9
1996,AL,False,NA,Jeff Sessions,Republican,52.5
1996,AK,False,NA,Ted Stevens,Republican,76.7
1996,AR,False,NA,Y. Tim Hutchinson,Republican,52.7
1996,CO,False,NA,Wayne Allard,Republican,51.4
1996,DE,False,NA,Joseph R. Biden Jr.,Democrat,60.0
1996,GA,False,NA,Max Cleland,Democrat,48.9
1996,ID,False,NA,Larry E. Craig,Republican,57.0
1996,IL,False,NA,Richard J. Durbin,Democrat,56.1
1996,IA,False,NA,Tom Harkin,Democrat,51.8
1996,KS,False,NA,Pat Roberts,Republican,62.0
1996,KS,True,NA,Sam Brownback,Republican,53.9
1996,KY,False,NA,Mitch McConnell,Republican,55.5
1996,LA,False,NA,Mary L. Landrieu,Democrat,50.2
1996,ME,False,NA,Susan M. Collins,Republican,49.2
1996,MA,False,NA,John F. Kerry,Democrat,52.2
1996,MI,False,NA,Carl Levin,Democrat,58.4
1996,MN,False,NA,Paul Wellstone,Democrat,50.3
1996,MS,False,NA,Thad Cochran,Republican,71.0
1996,MT,False,NA,Max Baucus,Democrat,49.6
1996,NE,False,NA,Chuck Hagel,Republican,57.4
1996,NH,False,NA,Bob Smith,Republican,49.3
1996,NJ,False,NA,Robert G. Torricelli,Democrat,52.7
1996,NM,False,NA,Pete V. Domenici,Republican,64.7
1996,NC,False,NA,Jesse Helms,Republican,52.6
1996,OK,False,NA,James M. Inhofe,Republican,56.7
1996,OR,False,NA,Gordon Smith,Republican,49.8
1996,OR,True,NA,Ron Wyden,Democrat,47.8
1996,RI,False,NA,Jack Reed,Democrat,63.3
